Country,Farmers,Agri,Population,Land,Farmers_Percent,Agri_Percent,Other_Percent
India,"120000000","800402543","1380004385",2.3,0.08695624543,0.493,0.42
U.S.,"2600000","3400000","331002651",250,0.007854921984,0.01027182106,0.981873257
