Added Date,Track Name,Track URL,Preview URL,Explicit,Instrumental,Popularity,Disc Number,Track Number,Duration,Album Name,Genre,Album URL,Album Type,Album Release Date,Album Track Total,Album Release Date Precision,Album Art URL Large,Album Art URL Medium,Album Art URL Small,Album Artist,Album Artist URL,Track Artist,Track Artist URL,Album Artist 2,Album Artist 2 URL,Track Artist 2,Track Artist 2 URL,Album Artist 3,Album Artist 3 URL,Track Artist 3,Track Artist 3 URL,Whole Album Download
2019-09-14T21:33:24Z,Think Of Me - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/0My5IsCcEujsHDByf8i4GJ,https://p.scdn.co/mp3-preview/fa4d878e7a03f07b42f0c68c91bad94a2d245816?cid=774b29d4f13844c495f206cafdad9c86,false,false,36,1,3,555520,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:28Z,Angel Of Music - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/6caErOzgulGuI40zCMMAcV,https://p.scdn.co/mp3-preview/94b7939f74a55b3548181aab61fd5c35b7ff4c14?cid=774b29d4f13844c495f206cafdad9c86,false,false,35,1,4,221946,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:32Z,Little Lotte .../The Mirror ...(Angel Of Music) - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/5CHhYKwCi0lf1J8d3y5NAF,https://p.scdn.co/mp3-preview/9f9eed85bb25fbf8ecb7b454ef8106e2e638f928?cid=774b29d4f13844c495f206cafdad9c86,false,false,35,1,5,213120,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:34Z,The Phantom Of The Opera - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/79y1Hf8GvrxxEuo5pxNH6m,https://p.scdn.co/mp3-preview/fb341f88283c0e86919ba3e23ec0d119402c383f?cid=774b29d4f13844c495f206cafdad9c86,false,false,44,1,6,316853,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:35Z,The Music Of the Night - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/1V7L85tChempFeABio8pLG,https://p.scdn.co/mp3-preview/fef16ebc03ecf9e3a60ec12a6252170a171d17f7?cid=774b29d4f13844c495f206cafdad9c86,false,false,41,1,7,398093,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:37Z,I Remember .../Stranger Than You Dreamt It ... - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/2GEzFK3b6x4mtpwd2MneX9,https://p.scdn.co/mp3-preview/dfe1025c0f03a4b8cf2e28a7114f3b34ba54c27b?cid=774b29d4f13844c495f206cafdad9c86,false,false,32,1,8,206253,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:39Z,Magical Lasso - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/4EHrMvjF9YbZ3e4L9I0bQg,https://p.scdn.co/mp3-preview/ca7fb71078df27859b1b0be9e0ab23771180975b?cid=774b29d4f13844c495f206cafdad9c86,false,false,29,1,9,62653,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:46Z,Notes .../Prima Donna - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/3NhaS8qIftVKNThEa9HcX4,https://p.scdn.co/mp3-preview/a667899f738c5bc4e96247a2115d4fd91b2e6199?cid=774b29d4f13844c495f206cafdad9c86,false,false,32,1,10,776946,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:48Z,"Poor Fool, He Makes Me Laugh - Live At The Royal Albert Hall/2011",https://open.spotify.com/track/1JAZ1GrihZn2dRvFhl9ebR,https://p.scdn.co/mp3-preview/f1e1e0b45154cd266ea029eb075288a688e553a6?cid=774b29d4f13844c495f206cafdad9c86,false,false,29,1,11,278893,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:50Z,"Why Have You Brought Me Here?/ Raoul, I've Been There - Live At The Royal Albert Hall/2011",https://open.spotify.com/track/7erP8FPUK50azPnAH5PVqG,https://p.scdn.co/mp3-preview/1585c3201204aaf4b6886c273467eddf9dfd1674?cid=774b29d4f13844c495f206cafdad9c86,false,false,31,1,12,202973,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:51Z,All I Ask Of You - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/0wBvSzWnsW14B0HAuCdVWf,https://p.scdn.co/mp3-preview/9a1df407c8bc281aadc75f9a8c4b1486e2072998?cid=774b29d4f13844c495f206cafdad9c86,false,false,38,1,13,250240,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:53Z,All I Ask Of You (Reprise) - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/20Z69nYlMd3CPECRSRCVLc,https://p.scdn.co/mp3-preview/d9aeed938c32744f67ca7e4da36685c259cb6995?cid=774b29d4f13844c495f206cafdad9c86,false,false,34,1,14,227973,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:55Z,Entr'Acte - Act Two - Six Months Later - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/6CzWXOv7WGiVoWGIFksIhP,https://p.scdn.co/mp3-preview/2655196fec3c0d5e3227d4fb157306992d8b5040?cid=774b29d4f13844c495f206cafdad9c86,false,false,29,2,1,249186,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:57Z,Masquerade / Why So Silent? - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/1jRfzh3EJiQgUAv60sYmai,https://p.scdn.co/mp3-preview/e19a4dc773b5311fc6c8b090c8398ce27cabb538?cid=774b29d4f13844c495f206cafdad9c86,false,false,34,2,2,488133,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
2019-09-14T21:33:58Z,Notes .../Twisted Every Way - Live At The Royal Albert Hall/2011,https://open.spotify.com/track/5YXToE5ajpXZI4daY1P3OV,https://p.scdn.co/mp3-preview/dd46e620694df74a6beef0aafd862f78025969b3?cid=774b29d4f13844c495f206cafdad9c86,false,false,31,2,3,653480,The Phantom Of The Opera At The Royal Albert Hall,Show Tunes/Soundtracks,https://open.spotify.com/album/6C4TnJuvfxJakuhh2vT0Hh,album,2011-01-01,22,day,https://i.scdn.co/image/f4c7893be76b907772f8c0a606c23cc5143b9260,https://i.scdn.co/image/c5b0c85c3dfc84e03e295fb8366913ed0387d5e2,https://i.scdn.co/image/f37098322484f4669beea700fb4f80ca86e53265,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,https://open.spotify.com/artist/4aP1lp10BRYZO658B2NwkG,NA,NA,NA,NA,NA,NA,NA,NA,true
